doc_id,title,content,keyword_relevant,cluster_id,cluster_label
11,Doc 12: Peru has entered two days of official mourning,"Peru has entered two days of official mourning for the more than 220 people killed in a fire that's destroyed part of downtown Lima. Police say the fire began when a fireworks cache exploded in a shop just four blocks from Peru's Congress in a heritage-listed area famed for its Spanish colonial-era architecture. Early evening crowds buying traditional fireworks for New Year's Eve celebrations were trapped by the flames as they raced through surrounding markets and four-storey apartment buildings. Local residents blame vendors of illegal fireworks and say the death toll was exacerbated by poor traffic control in the adjoining, narrow street where cars - themselves engulfed by fire - trapped fleeing victims. Hospitals have urged the public to donate medicine for the hundreds of burns victims. Peru's President Alejandro Toledo has cut short his beach holiday to oversee an inquiry.",False,4,"south, new, australia, wales"
12,Doc 13: President General Pervez Musharraf says Pakistan wants to,"President General Pervez Musharraf says Pakistan wants to defuse the brewing crisis with India, but was prepared to respond vigorously to any attack. ""Pakistan stands for peace, Pakistan wants peace, Pakistan wants to reduce tension,"" he said. ""Let the two countries move towards peace and harmony. ""However, Pakistan has taken all counter measures, if any war is thrust on Pakistan, the Pakistan armed forces and the 140 million people of Pakistan are fully prepared to face all consequences with all their might."" The President said he had received the ""support of all political parties"". President Musharraf also said he welcomed the intervention of the international community in trying to defuse the potentially explosive crisis. ""We would like anybody to play a useful and positive role in defusing the tension."" The United States, the European Union and the Group of eight industrialised nations among others, have all called on India and Pakistan to exercise restraint and resolve the stand-off through dialogue. President Musharraf repeated his offer of holding talks with Indian Prime Minister Atal Behari Vajpayee. ""I am for dialogue and I keep on saying this and India keeps on rejecting which gives me a feeling that I am begging to India. If they accept it we do not reject it at all,"" he said. On Friday he said he was willing to meet Prime Minister Vajpayee on the sidelines of the January 4-6 South Asian Association for Regional Cooperation (SAARC) summit in Nepal. India ruled out any face-to-face talks. Military tensions erupted between India and Pakistan after the bloody December 13 raid on the Indian parliament. India accuses Pakistan's military intelligence of masterminding the assault, but Pakistan denies the allegation. With both countries massing troops along the border, Pakistan Foreign Minister Abdul Sattar warned Saturday that the dispute was growing ""dangerously tense"" and any small act of provocation could snowball into conflict. President Musharraf said one of the goals of Sunday's meeting was ""to take stock of the internal situation, the domestic environment"". ""I want to eradicate militancy, extremism, intolerance from Pakistani society and I also said I would like to eradicate any form of terrorism from the soil of Pakistan."" However he warned the ""tension that has mounted on our eastern border in fact is creating obstacles and hurdles"".",True,1,"said, pakistan, palestinian, says"
13,Doc 14: Talks between Afghan and British officials in Kabul,"Talks between Afghan and British officials in Kabul have ended without final agreement on the deployment of a international security force. The lack of a suitable translation of the document meant a further delay. Authorities in Kabul have been giving conflicting signals for weeks now over the number of peacekeepers they would allow and the role the international force would play. The Foreign Minister, Dr Abdullah, appeared to be ending the confusion, saying an agreement was about to be signed. ""There is already the agreement, so it was finalised,"" he said. But a spokesman for the Interior Minister, Yunis Kanooni, emerged soon after to say there was no agreement and nothing to sign. Scores of British peacekeepers are already patrolling the streets of Kabul in tandem with Afghan police. But proposals to enlarge the force to as many as 5,000 international peacekeepers have been criticised by some commanders as tantamount to foreign occupation.",False,1,"said, pakistan, palestinian, says"
14,Doc 15: The Israeli army has killed three Palestinian militants,"The Israeli army has killed three Palestinian militants who attacked one of its armoured vehicles in the northern Gaza Strip. The three Palestinians opened fire with rifles at the vehicle between the Jewish settlements of Alei Sinai and Nitzanit, on the northern edge of the Gaza Strip. They were killed by shell fire from a tank, the sources said. During the fire fight an Israeli army observation post called in tank fire which killed the three gunmen. The killing brings the death toll of 15 months of the Palestinian uprising against Israeli occupation to 1,121 people, including 865 Palestinians and 234 Israelis. Alei Sinai was attacked on October 2 when two gunmen from the radical Islamic group Hamas infiltrated the settlement and opened fire on the residents, killing two teenage Israelis. Two Palestinian gunmen also killed an Israeli settler in Alei Sinai on December 2 before being killed by the army.",False,1,"said, pakistan, palestinian, says"
15,Doc 16: Only a protest will can now stop Bumblebee,"Only a protest will can now stop Bumblebee 5 from wining the overall handicap honours in the 57th Sydney to Hobart yacht race. The Ian Murray-skippered boat appears to have clinched the coveted title after its nearest rival, Zeus Two failed to finish in the early hours of this morning. Zeus Two is still eight hours away from the finish line. The nine metre yacht is among 16 boats still to finish. All four Tasmanian boats have finished. Meanwhile, a South Australian yacht in the Sydney to Hobart has been towed to St Helens on Tasmania's east coast after losing its rudder. Liberator, skippered by Geoff Catt, got into trouble yesterday 46 miles from Eddystone Point when it apparently struck an object. The were no reported injuries onboard.",False,2,"sydney, yacht, line, race"
16,Doc 17: South Africa is considering playing left arm spinner,"South Africa is considering playing left arm spinner Nicky Boje in this week's third Test against Australia in Sydney. Boje was forced to withdraw from the South African squad before the start of the tour due to injury. South African captain Shaun Pollock says he hopes Boje arrives in time to prepare for the Test. ""Nicky Boje might be out in time,"" he said. ""As soon as he was fit and ready he was going to come over but we'll be picking the best possible eleven for the Sydney Test.""",False,3,"test, bichel, africa, south"
17,Doc 18: Spain has begun its Hopman Cup campaign in,"Spain has begun its Hopman Cup campaign in Perth with a 3-0 victory over Argentina. Arantxa Sanchez-Vicario and Tommy Robredoboth won their singles matches, and then teamed to win the mixed doubles. Sanchez-Vicario says she is hoping to win her second Hopman Cup title after winning the tournament with her brother Emilio in 1990. ""It would be very nice to start the year off and as I say it's always tough but it's a very good start for me and I'm looking forward with Tommy to see if we can be the champions again,"" she said. Today, the United States will play France. Meanwhile, world number one Lleyton Hewitt says he will not be putting pressure on himself to win next month's Australian Tennis Open in Melbourne. Hewitt yesterday teamed with fellow Australian Alicia Molik to beat Switzerland 3-0 in their opening tie at the Hopman Cup in Perth. Hewitt says his first objective will be to reach the second week of the grand slam event. ""I think if I play my best tennis and give a 100 per cent no matter who I play I think I'm in with a good chance of getting through to the second week and if that happens then most times in a grand slam it's sort of anyone's tournament from there,"" he said.",False,1,"said, pakistan, palestinian, says"
18,Doc 19: New Zealand has rewarded Lord of the Rings,"New Zealand has rewarded Lord of the Rings director Peter Jackson in its New Years Honours list. Jackson, who has spent seven years on filming the Tolkien classic in his home country has been made a companion of the New Zealand Order of Merit. The first of three films employed a cast of over 2,000 and had a budget of $534 million - far and away New Zealand's biggest production ever. There is no chance Jackson himself will become a Lord though - New Zealand's Labour Government last year dropped knighthoods in favour of local honours.",False,4,"south, new, australia, wales"
19,Doc 20: The next few hours are crucial for firefighters,"The next few hours are crucial for firefighters on alert in the Blue Mountains. Firefighters are working on a 25 kilometre fire front in the area, which it is feared will devour homes if the wind picks up this afternoon. The weather bureau had initially predicted 80 kilometre an hour southerly wind gusts, but has revised its forecast to 30 kilometres an hour. The wind change is expected to reach the Blue Mountains in the next hour. Mark Williams, the incident controller for the Blue Mountains region, says fire crews will stop back-burning as soon as the wind change nears the area. ""Soon as we get word the southerly change for instance, is getting close to the Blue Mountains area, we initially stop our back-burning,"" Mr Williams said. ""Tie it into a local creek or something as close as possible so that it's contained within that area, so we don't have further outbreaks.""",False,2,"sydney, yacht, line, race"
20,Doc 21: Argentine President Adolfo Rodriguez Saa has asked the,"Argentine President Adolfo Rodriguez Saa has asked the country's banks to help re-establish peace by facilitating the payment of pensions and salaries to workers and retirees. He says he issued the appeal at a meeting with leaders of the banking community. ""I'm very concerned about what has happened in Argentina,"" Mr Rodriguez Saa said. He says he has asked banks to remain open from 8:00am to 8:00pm Monday, to be able to cash checks of up to 1,000 pesos or $US1,000 per person.",False,1,"said, pakistan, palestinian, says"
21,"Doc 22: The nation's road toll has risen to 37,","The nation's road toll has risen to 37, after another death on New South Wales roads. A 38-year-old man, who was injured in a crash on the mid-north coast last week, has died in hospital. A 16-year-old boy, who was a passenger in the car when it hit a telephone pole, remains in critical condition. New South Wales has recorded 18 holiday deaths. Seven people have died on Queensland roads, five in Victoria, three in the Northern Territory, two each in Western Australia and South Australia. The ACT and Tasmania remain fatality free.",False,4,"south, new, australia, wales"
22,Doc 23: The Federal Government says new national fuel quality,"The Federal Government says new national fuel quality standards for petrol and diesel will greatly reduce toxic emissions from cars and trucks. The Federal Minister for the Environment, David Kemp, says state and territory inspectors will conduct random fuel sampling at refineries, distributor terminals, and petrol stations across the country. He says the new laws, introduced today, will cut the pollution from vehicles and it is hoped this will lead to a reduction in respiratory illness in the community. Lead in petrol will be prohibited under the new laws. The 2.5 million cars built prior to 1986, which use leaded petrol, will be required to use lead replacement petrol. Mr Kemp says it is expected emissions of major pollutants such as benzene and carbon monoxide will be reduced by at least 40 per cent by 2010. By 2020, emissions of those pollutants will be reduced by 70 per cent.",False,0,"man, flight, reid, says"
23,"Doc 24: Americans' fears about airplane security continue to increase,","Americans' fears about airplane security continue to increase, after a man made it through two separate flights with a loaded gun in his carry-on luggage. The man was finally stopped before boarding a third plane in Memphis. The man had travelled from Florida to Atlanta, and then Atlanta to Memphis. He was attempting to board his return flight last night when he was stopped by security personnel for a random check. They discovered a loaded 9mm Beretta semi-automatic pistol in his hand luggage. The man acknowledged the gun was his, and was released on $5,000 bail. There is no suggestion he was planning any sort of terrorist attack, but his ability to complete two flights while carrying the weapon has again highlighted airline security problems. The incident follows last week's drama when a man was able to board a plane from Paris to Miami with explosives in his shoes.",False,0,"man, flight, reid, says"
24,Doc 25: A team of police is currently escorting two,"A team of police is currently escorting two Swiss tourists back to the safety of a central Australian community after their vehicle sank in sand in the Finke River overnight. A police spokesman says police were called to the area 100 kilometres west of Alice Springs, after an emergency beacon was activated and received by Australian Search and Rescue. The tourists had tried to cross the river when their vehicle became submerged in soft sand. The spokesman says a ground unit also attended, but police officers had to walk the final 12 kilometres to reach the stranded Swiss nationals who were stuck in the vehicle. The tourists and the rescue team are expected to walk for about four hours this morning before driving to the Hermansburg community.",False,1,"said, pakistan, palestinian, says"
25,Doc 26: The handicap winner of the Melbourne to Hobart,"The handicap winner of the Melbourne to Hobart yacht race is close to being decided. ""San Miguel"", skippered by Gary Clapham, crossed the line at 9:30am AEDT and is favourite to take the race on handicap. Almost half the fleet has crossed the finish line. After leading since the race began three days ago Kontrol crossed the line at 2:15am. Another Victorian boat, Tevake, claimed second place just one minute clear of Wild Card, the only Tasmanian entry in the fleet. The fast-finishing Tevake crossed the line at 6:15am to be runner-up for the second year in a row. Kontrol skipper Peter Blake says modifications to his boat have been more than successful. Firefighters in New South Wales have spent another night back-burning in preparation for the weekend's heatwave conditions. No more homes were lost overnight, despite more than 50 fires still raging around the state. Firefighters are fearing the worst with hot and windy conditions forecast over the next two days. Spencer north of Sydney, and the lower Blue Mountains continue to be of the greatest concern. Homes between Bulabarra and Lapstone are set to be in the line of fire if the forecast wind changes materialise in those areas. Extensive back-burning was conducted overnight, with firefighters concentrating on areas south of Sydney at Sutherland, Illawarra and Shoalhaven. At Spencer, firefighters are desperately trying to stop the flames from spreading across the Hawkesbury River. However, there is some relief in sight for exhausted firefighters, with the arrival this morning of 130 officers from Queensland. Those firefighters are heading to the Hunter region to help battle a blaze at Cessnock.",False,2,"sydney, yacht, line, race"
26,Doc 27: Pakistan's President Pervez Musharraf says he is ready,"Pakistan's President Pervez Musharraf says he is ready to meet Indian Prime Minister Atal Behari Vajpayee, as fears grow of a war between the two countries. Tensions have escalated since a suicide attack on the Indian Parliament two weeks ago. India alleges the attack was backed by the Pakistani intelligence service. General Musharraf says Pakistan will never initiate a conflict between the two countries. He says he is prepared to hold talks with the Indian Prime Minister at a regional summit in Nepal next week. ""I don't mind meeting him but as I've said once before, you can't clap with one hand,"" General Musharraf said. ""If there is a willingness from the other side there will be a willingness from my side.""",True,1,"said, pakistan, palestinian, says"
27,Doc 28: Swedish Round the World ocean racer Assa Abloy,"Swedish Round the World ocean racer Assa Abloy has taken line honours in the 57th Sydney to Hobart. Assa Abloy, accompanied by a large spectator fleet, sailed up the Derwent River in light winds this morning. It crossed the finishing line just under two days and 21 hours after starting the journey in Sydney. A large crowd lined the Hobart docks to welcome the yacht. Swedish maxi Nicorette is in second place, two nautical miles behind Assa Abloy. Five other Volvo 60s are nearby. The crew of the Assa Abloy will not be able to spend too much time celebrating - the Round the World yachts have only a few hours rest before racing on to Auckland.",False,2,"sydney, yacht, line, race"
28,Doc 29: A United States federal magistrate has refused to,"A United States federal magistrate has refused to free on bail a British man accused of trying to detonate his explosives-laden shoes on a transatlantic flight. At a hearing in United States Federal Court, Federal Bureau of Investigation agent Margaret Cronin said Richard Reid was in possession of a ""functioning, improvised device,"" which ""if placed beside an outer wall could have or would have created a large hole in the fuselage of the plane"". The device contained an explosive called TATP. US Magistrate Judith Dein refused to grant bail for Reid, 28, but left open the possibility of his release later. Reid is charged with intimidation and interfering with a flight crew - offenses that carry 20-year jail terms. No additional charges were filed. He allegedly tried to set fire to his sneakers Saturday on an American Airlines flight from Paris to Miami that was diverted to Boston. Investigators say the explosives in his shoes were powerful enough to have created a major disaster.",False,0,"man, flight, reid, says"
29,Doc 30: The Palestinian leadership is calling for US peace,"The Palestinian leadership is calling for US peace envoy Anthony Zinni to return to the region to work for a cease-fire and a return to peace talks. Mr Zinni, a retired Marine Corps general, was sent to the region in late November by US Secretary of State Colin Powell. However, he was recalled earlier this month after failing to bring a halt to the bloodshed. A statement issued after a meeting chaired by Palestinian leader Yasser Arafat called for a ""quick return of Zinni and his team to proceed to the application of the Mitchell Plan and the Tenet Memorandum."" The internationally-backed Mitchell Plan calls for an end to Israeli-Palestinian violence and the implementation of confidence-building measures, before a return to peace talks. The Tenet Memorandum, a blueprint for implementing a cease-fire, was agreed several months ago but failed to take hold on the ground. The Palestinian leadership underscored the ""importance of the role played by the American administration in the peace process, with the support of Russia and the European Union."" The US State Department has said Mr Zinni will only return when he and Mr Powell believe his presence could be effective in bringing about a cease-fire.",False,1,"said, pakistan, palestinian, says"
30,Doc 31: The Northern Territory Aids Council says it is,"The Northern Territory Aids Council says it is not surprised the Territory's rate of HIV infection through male to female sex is twice the national rate. A report in the Centre for Disease Control Bulletin says 21 percent of HIV infections in the Territory were from male to female sex, compared to 10 per cent nationally. The council's Frank Farmer says it is another reason for people to practice safe sex. ""We do need to be reminded, I think people become a bit complacent and they feel that it can't happen to them,"" Mr Farmer said. ""What these statistics show is that there is a shift in the means of transmission... previous figures were about 80 per cent, but male to male contact has turned around here so that it is a bit of a wake up call for people.""",False,1,"said, pakistan, palestinian, says"
31,Doc 32: There is a one in 20 chance of,"There is a one in 20 chance of a dramatic rise in world sea levels over the next century due to global warming, according to a new risk assessment. The survey by the British Antarctic Survey (BAS) and Norwegian environmental safety organisation Det Norske Veritas, says there is a 5 per cent chance of the giant West Antarctic Ice Sheet disintegrating due to climate change. Scientist David Vaughan says if that happens, sea levels would rise by one metre in the next 100 years. ""You have to balance the likelihood against the severity of the impacts, and in this case even a 5 per cent chance of this happening is really damn serious,"" he said. Scientists have already predicted a rise in sea levels of 50 centimetres over the next century, due to a combination of climate change and increased extraction of ground water. Mr Vaughan says that estimate did not factor in melting Antarctic ice. ""So we might be looking at something like 1.5 metres in the next century,"" Mr Vaughan said. Mr Vaughan says the possible break-up of the West Antarctic Ice Sheet, which accounts for 13 per cent of ice on the frozen continent, is not related to the impact of human industrial activity on the climate. He says it is part of a far older process. However, he says major world polluters cannot walk away from the problem. ""The potential impacts of a major change in the West Antarctic Ice Sheet are severe - sea level rise will be fantastically expensive for developed nations with coastal cities and dire for poor populations in low-lying coastal areas,"" Mr Vaughan said.",False,4,"south, new, australia, wales"
32,Doc 33: An earthquake measuring 4.1 on the Richter scale,"An earthquake measuring 4.1 on the Richter scale has shaken parts of Western Australia's wheatbelt overnight. Geo-science Australia says the epicentre was in Burakin, 240 kilometres north-east of Perth. A spokesman says the earthquake, which occurred at about 12:30am, follows a larger quake in September which measured over five on the Richter scale. Shane Bradford of Ballidu just west of Burakin, says the quake shook his house and woke him from his sleep.",False,4,"south, new, australia, wales"
33,Doc 34: New South Wales firefighters are hoping lighter winds,"New South Wales firefighters are hoping lighter winds will help ease their workload today but are predicting ""nasty"" conditions over the weekend. While the winds are expected to ease somewhat today, the weather bureau says temperatures will be higher. More than 100 fires are still burning across New South Wales. The Rural Fire Service says the change may allow it to concentrate more on preventative action, but there is no room for complacency. Mark Sullivan, from the Rural Fire Service, says while conditions may be a little kinder to them today, the outlook for the weekend has them worried. ""It certainly appears from the weather forecast, with very high temperatures and high winds that it certainly could be a nasty couple of days ahead,"" Mr Sullivan said. One of the areas causing greatest concern today is the 30-kilometre long blaze in the lower Blue Mountains. Firefighters are also keeping a close eye on a blaze at Spencer north of Sydney, which yesterday broke through containment lines. There are concerns that fire may jump the Hawkesbury River. Backburning continues in the state's central west and south of Sydney in the Shoalhaven. In the Illawarra, firefighters have been able to carry out back-burning operations in three areas. Operations were carried out in parts of Mt Kembla, as well as an area bounded by Appin Road and the Old Princes Highway at Helensburgh. An area west of Windy Gully near Cataract Dam was also targeted. Meanwhile, Illawarra police have arrested three teenagers in relation to bushfires at Shellharbour, on the south coast of New South Wales. A spokesman says three small fires were extinguished around 7:30pm AEDT yesterday. A short time later police arrested three 15-year-old boys from Shellharbour, Barrack Heights and Shell Cove. All three have been interviewed but no charges have been laid.",False,4,"south, new, australia, wales"
34,Doc 35: Pakistan's Foreign Ministry has announced retaliatory sanctions against,"Pakistan's Foreign Ministry has announced retaliatory sanctions against India, saying it would also downgrade embassy representation and ban Indian planes from its airspace. ""Pakistan regrets the Indian decision to downgrade embassy representation by 50 per cent and confine staff to the municipal limits of New Delhi and ban access to airspace,"" ministry spokesman Aziz Ahmed Khan said. ""Such efforts will only increase tension and we are forced to take retaliatory actions. ""We will downgrade their embassy staff here, confine them to Islamabad limits, and will also ban their access to Pakistan's airspace."" As tension mounted between the two rivals after the December 13 attack on the Parliament complex in new Delhi, Indian Foreign Minister Jaswant Singh earlier announced a set of new sanctions. Pakistani aircraft would not be allowed to fly over Indian airspace from January 1, and the Indian embassy in Islamabad and the Pakistan mission in New Delhi will have to reduce their staff by 50 per cent, he said. Pakistani embassy staff would be confined to movement within New Delhi, he added. Mr Singh said the measures were being taken as a result of Pakistan's attempts to ""dupe"" the international community with ""cosmetic measures and non measures"" against militant groups operating in its territory. India has accused Pakistani military intelligence of sponsoring the Parliament attack and has threatened retaliation, including possible military action.",True,1,"said, pakistan, palestinian, says"
